Price,Car,Mileage,Ext_color,Int_color,Transmission,Drivetrain
9591,2012 Jeep Liberty Sport,50659.0,White,Gray,Automatic,RWD
7995,2016 Nissan Altima 2.5 SR,17175.0,Silve,Gray,CVT,FWD
7995,2017 Dodge Journey SE,65222.0,Othe,Othe,Automatic,FWD
8995,2014 Honda CR-V LX,35083.0,Othe,Othe,Automatic,FWD
6500,2017 Ford Fiesta SE,29274.0,Othe,Othe,Automatic,FWD
3995,2014 Kia Soul Base,49789.0,Othe,Othe,Automatic,FWD
5995,2013 Honda CR-V EX-L,90842.0,Black,Beige,Automatic,AWD
6800,2016 Mazda CX-5 Grand Touring,57240.0,Blue,Black,Automatic,AWD
7991,2018 Nissan Versa 1.6 S+,42570.0,Silve,Gray,Automatic,FWD
7499,2016 Toyota Corolla LE,64589.0,Silve,Othe,Automatic,FWD
9598,2016 Nissan Altima 2.5 S,55388.0,Black,Gray,CVT,FWD
9991,2015 BMW 328 i,71893.0,Silve,Othe,Automatic,RWD
9798,2013 Volvo S60 T5 Premier Plus,40694.0,Black,Beige,Automatic,FWD
5191,2015 Hyundai Elantra SE,99370.0,Silve,Gray,Automatic,FWD
9991,2019 Kia Optima LX,48529.0,White,Black,Automatic,FWD
3491,2014 Chevrolet Sonic LT,119370.0,Blue,Gray,Automatic,FWD
8490,2013 GMC Terrain SLE-2,84031.0,Blue,Othe,Automatic,FWD
3990,2010 Hyundai Santa Fe GLS,153575.0,Silve,Gray,Automatic,FWD
6990,2015 Chevrolet Spark LS,36165.0,Green,Gree,CVT,FWD
9490,2014 Buick Regal Turbo Premium I,61215.0,White,Othe,Automatic,FWD
5991,2011 Hyundai Sonata GLS,66972.0,Blue,Beige,Automatic,FWD
9598,2014 Buick Encore Base,59685.0,Silve,Black,Automatic,FWD
4990,2014 FIAT 500L Easy,91771.0,White,Black,Automatic,FWD
9998,2016 Toyota Corolla S Plus,51167.0,White,Black,CVT,FWD
5478,2013 Mazda Mazda3 i Touring,108620.0,Black,Black,Automatic,FWD
4995,2011 Hyundai Accent GS,48181.0,Silve,Black,Automatic,FWD
5500,2011 Buick Regal CXL,132874.0,Silve,Black,Automatic,FWD
9650,2019 Nissan Sentra S,40963.0,Blue,Othe,CVT,FWD
8995,2017 Mitsubishi Lancer ES,74984.0,Gray,Black,CVT,FWD
9585,2015 Nissan Juke S,44542.0,Black,Black,CVT,AWD
8495,2014 Ford Fiesta ST,72065.0,Red,Orange,Manual,FWD
7000,2016 Hyundai Sonata ECO,83000.0,White,Gray,Automatic,FWD
7998,2015 Dodge Dart SXT,57073.0,Silve,Black,Automatic,FWD
9998,2014 Nissan Juke SL,70939.0,Black,Black,CVT,FWD
4977,2012 Nissan Altima 2.5 S,114591.0,Silve,Gray,CVT,FWD
7297,2016 Nissan Sentra S,61635.0,Gray,Gray,CVT,FWD
3700,2013 Kia Forte EX,101058.0,Black,Othe,Automatic,FWD
9415,2013 Hyundai Veloster Base,57003.0,Black,Gray,Automatic,FWD
9500,2016 Kia Sorento L,81306.0,Black,Black,Automatic,FWD
9687,2013 Audi A4 2.0T Premium,95505.0,White,Brow,CVT,FWD
6745,2017 Hyundai Accent SE,83830.0,White,Gray,Automatic,FWD
9338,2017 Hyundai Elantra SE,55001.0,Silve,Beige,Automatic,FWD
6994,2013 Nissan Sentra S,46120.0,Gray,Gray,CVT,FWD
7537,2012 Ford Focus Titanium,77334.0,Black,Black,Manual,FWD
7999,2017 Nissan Versa 1.6 S+,55460.0,Blue,Gray,CVT,FWD
7684,2012 Hyundai Santa Fe GLS,70402.0,Silve,Gray,Automatic,FWD
8299,2014 Ford Focus SE,43521.0,Black,Black,Automatic,FWD
